t,bbox,ratio,conf,landmark
21.6,False,0.0,0.0,False
21.64,False,0.0,0.0,False
21.67,False,0.0,0.0,False
21.7,False,0.0,0.0,False
21.74,True,0.2852,0.387,False
21.77,False,0.0,0.0,False
21.8,False,0.0,0.0,False
21.84,True,0.2776,0.326,False
21.87,False,0.0,0.0,False
21.9,False,0.0,0.0,False
21.94,True,0.2589,0.346,False
21.97,False,0.0,0.0,False
22.0,False,0.0,0.0,False
22.04,False,0.0,0.0,False
22.07,False,0.0,0.0,False
22.1,False,0.0,0.0,False
22.14,True,0.2776,0.314,False
22.17,True,0.2663,0.337,False
22.2,False,0.0,0.0,False
22.24,False,0.0,0.0,False
22.27,True,0.2626,0.3,False
22.3,False,0.0,0.0,False
22.34,False,0.0,0.0,False
22.37,True,0.2252,0.325,False
22.4,False,0.0,0.0,False
22.44,False,0.0,0.0,False
22.47,False,0.0,0.0,False
22.5,False,0.0,0.0,False
22.54,False,0.0,0.0,False
22.57,False,0.0,0.0,False
22.6,False,0.0,0.0,False
22.64,False,0.0,0.0,False
22.67,False,0.0,0.0,False
22.7,True,0.2663,0.334,False
22.74,False,0.0,0.0,False
22.77,False,0.0,0.0,False
22.8,False,0.0,0.0,False
22.84,False,0.0,0.0,False
22.87,False,0.0,0.0,False
22.9,False,0.0,0.0,False
22.94,True,0.2408,0.312,False
22.97,False,0.0,0.0,False
23.0,False,0.0,0.0,False
23.04,False,0.0,0.0,False
23.07,False,0.0,0.0,False
23.1,True,0.2719,0.312,False
23.14,True,0.3169,0.305,False
23.17,False,0.0,0.0,False
23.2,False,0.0,0.0,False
23.24,False,0.0,0.0,False
23.27,False,0.0,0.0,False
23.3,True,0.3108,0.303,False
23.34,False,0.0,0.0,False
23.37,False,0.0,0.0,False
23.4,False,0.0,0.0,False
23.44,False,0.0,0.0,False
23.47,False,0.0,0.0,False
23.5,True,0.2226,0.367,False
23.54,False,0.0,0.0,False
23.57,False,0.0,0.0,False
23.6,True,0.2462,0.302,False
23.64,False,0.0,0.0,False
23.67,False,0.0,0.0,False
23.7,False,0.0,0.0,False
23.74,False,0.0,0.0,False
23.77,False,0.0,0.0,False
23.8,False,0.0,0.0,False
23.84,False,0.0,0.0,False
23.87,True,0.2356,0.321,False
23.9,False,0.0,0.0,False
23.94,False,0.0,0.0,False
23.97,False,0.0,0.0,False
24.0,False,0.0,0.0,False
24.04,False,0.0,0.0,False
24.07,False,0.0,0.0,False
24.1,False,0.0,0.0,False
24.14,True,0.2356,0.315,False
24.17,False,0.0,0.0,False
24.2,False,0.0,0.0,False
24.24,False,0.0,0.0,False
24.27,False,0.0,0.0,False
24.3,False,0.0,0.0,False
24.34,False,0.0,0.0,False
24.37,False,0.0,0.0,False
24.4,True,0.2626,0.327,False
24.44,False,0.0,0.0,False
24.47,False,0.0,0.0,False
24.5,False,0.0,0.0,False
24.54,False,0.0,0.0,False
24.57,True,0.2719,0.303,False
24.6,False,0.0,0.0,False
24.64,False,0.0,0.0,False
24.67,False,0.0,0.0,False
24.7,False,0.0,0.0,False
24.74,False,0.0,0.0,False
24.77,True,0.2681,0.337,False
24.8,False,0.0,0.0,False
24.84,True,0.2373,0.307,False
24.87,False,0.0,0.0,False
24.9,True,0.2871,0.313,False
24.94,False,0.0,0.0,False
24.97,False,0.0,0.0,False
25.0,True,0.3169,0.302,False
25.04,True,0.2757,0.312,False
25.07,False,0.0,0.0,False
25.1,False,0.0,0.0,False
25.14,True,0.2444,0.307,False
25.17,False,0.0,0.0,False
25.2,False,0.0,0.0,False
25.24,False,0.0,0.0,False
25.27,False,0.0,0.0,False
25.3,False,0.0,0.0,False
25.34,True,0.2871,0.339,False
25.37,False,0.0,0.0,False
25.4,False,0.0,0.0,False
25.44,False,0.0,0.0,False
25.47,False,0.0,0.0,False
25.5,False,0.0,0.0,False
25.54,True,0.2776,0.361,False
25.57,False,0.0,0.0,False
25.6,False,0.0,0.0,False
25.64,False,0.0,0.0,False
25.67,False,0.0,0.0,False
25.7,True,0.2498,0.304,False
25.74,False,0.0,0.0,False
25.77,True,0.2852,0.307,False
25.8,True,0.2719,0.332,False
25.84,False,0.0,0.0,False
25.87,False,0.0,0.0,False
25.9,False,0.0,0.0,False
25.94,True,0.2356,0.31,False
25.97,True,0.2426,0.307,False
26.0,True,0.2462,0.35,False
26.04,False,0.0,0.0,False
26.07,False,0.0,0.0,False
26.1,True,0.2776,0.304,False
26.14,False,0.0,0.0,False
26.17,True,0.2286,0.319,False
26.2,False,0.0,0.0,False
26.24,True,0.2589,0.301,False
26.27,False,0.0,0.0,False
26.3,False,0.0,0.0,False
26.34,False,0.0,0.0,False
26.37,False,0.0,0.0,False
26.4,False,0.0,0.0,False
26.44,True,0.2252,0.404,False
26.47,True,0.2607,0.323,False
26.5,False,0.0,0.0,False
26.54,False,0.0,0.0,False
26.57,True,0.2644,0.339,False
26.6,False,0.0,0.0,False
26.64,True,0.2426,0.302,False
26.67,True,0.2589,0.319,False
26.7,False,0.0,0.0,False
26.74,True,0.2833,0.312,False
26.77,False,0.0,0.0,False
26.8,True,0.2626,0.331,False
26.84,False,0.0,0.0,False
26.87,False,0.0,0.0,False
26.9,False,0.0,0.0,False
26.94,False,0.0,0.0,False
26.97,False,0.0,0.0,False
27.0,False,0.0,0.0,False
27.04,False,0.0,0.0,False
27.07,True,0.2408,0.303,False
27.1,False,0.0,0.0,False
27.14,False,0.0,0.0,False
27.17,True,0.248,0.305,False
27.2,False,0.0,0.0,False
27.24,False,0.0,0.0,False
27.27,False,0.0,0.0,False
27.3,True,0.2462,0.301,False
27.34,False,0.0,0.0,False
27.37,False,0.0,0.0,False
27.4,False,0.0,0.0,False
27.44,False,0.0,0.0,False
27.47,True,0.2709,0.338,False
27.5,False,0.0,0.0,False
27.54,False,0.0,0.0,False
27.57,False,0.0,0.0,False
27.6,True,0.2852,0.343,False
27.64,True,0.3088,0.301,False
27.67,True,0.2303,0.331,False
27.7,True,0.2303,0.348,False
27.74,False,0.0,0.0,False
27.77,False,0.0,0.0,False
27.8,True,0.2408,0.315,False
27.84,False,0.0,0.0,False
27.87,True,0.2321,0.303,False
27.9,True,0.2303,0.311,False
